,invoice_id,cust_number,name_customer,Industry_Sector,buisness_year,issue_date,due_in_date,invoice_currency,total_open_amount,clear_date,isOpen,Ground_Truth,issue_date_format,due_in_date_format,clear_date_format,time_taken_for_payment,payment_category,sector_format,no_of_days_for_due_pay,US_Dollars,no_of_early_pays,avg_of_early_pays,no_of_OnTime_pays,avg_of_OnTime_pays,no_of_late_pays,avg_of_late_pays,no_of_VeryLate_pays,avg_of_VeryLate_pays,no_of_CriticallyLate_pays,avg_of_CriticallyLate_pays
100,1929487380.0,100032262,INTERSTA co,,2019,6/18/19,20190628,USD,13872.48,6/29/19 0:00,0,,2019-06-18,2019-06-28,2019-06-29,1.0,Late,AllSectors,10,13872.48,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
101,1930461787.0,200762301,C&S WH systems,,2020,02/01/20,20200216,USD,937.68,2/19/20 0:00,0,,2020-02-01,2020-02-16,2020-02-19,3.0,Late,AllSectors,15,937.68,3,13575.62258064516,9,54154.419780219774,5,33451.18235294118,0,0.0,0,0.0
103,1929221972.0,200769623,WAL-MAR co,Retail,2019,4/29/19,20190514,USD,1170.27,05/09/19 0:00,0,,2019-04-29,2019-05-14,2019-05-09,-5.0,Early,Retail,15,1170.27,47,20855.470912951172,0,0.0,8,17723.343209876544,1,791.8272727272727,0,0.0
104,1928913601.0,200769623,WAL-MAR co,Retail,2019,03/07/19,20190322,USD,23976.32,3/18/19 0:00,0,,2019-03-07,2019-03-22,2019-03-18,-4.0,Early,Retail,15,23976.32,29,16389.271134020615,0,0.0,6,23443.847540983606,1,791.8272727272727,0,0.0
105,1929061083.0,200756072,REINHA trust,,2019,04/02/19,20190417,USD,18828.87,4/17/19 0:00,0,,2019-04-02,2019-04-17,2019-04-17,0.0,OnTime,AllSectors,15,18828.87,0,0.0,0,0.0,1,11202.51818181818,0,0.0,0,0.0
106,1930255968.0,200769623,WAL-MAR us,Retail,2019,12/10/19,20191225,USD,720.78,12/23/19 0:00,0,,2019-12-10,2019-12-25,2019-12-23,-2.0,Early,Retail,15,720.78,151,23978.95757776306,1,11085.927272727273,29,24292.270790378003,1,791.8272727272727,0,0.0
107,1929908065.0,200794332,COST in,,2019,9/21/19,20191006,USD,13091.11,10/07/19 0:00,0,,2019-09-21,2019-10-06,2019-10-07,1.0,Late,AllSectors,15,13091.11,7,23158.711267605635,4,12959.068292682929,3,25472.81612903226,0,0.0,0,0.0
108,1930553179.0,200353024,DECA ,,2020,2/21/20,20200310,USD,28.32,03/02/20 0:00,0,,2020-02-21,2020-03-10,2020-03-02,-8.0,Early,AllSectors,18,28.32,6,1203.8967213114756,0,0.0,0,0.0,0,0.0,0,0.0
109,1930452932.0,200762301,C&S WH us,,2020,1/30/20,20200214,USD,19665.2,2/14/20 0:00,0,,2020-01-30,2020-02-14,2020-02-14,0.0,OnTime,AllSectors,15,19665.2,3,13575.62258064516,8,58412.34814814814,5,33451.18235294118,0,0.0,0,0.0
111,2960542647.0,140104429,COSTCO corp,,2019,4/18/19,20190505,CAD,67034.28,05/09/19 0:00,0,,2019-04-18,2019-05-05,2019-05-09,4.0,Late,AllSectors,17,48935.024399999995,0,0.0,0,0.0,2,37021.36666666666,0,0.0,0,0.0
114,1929313381.0,200769623,WAL-MAR foundation,Retail,2019,5/15/19,20190530,USD,13112.14,5/28/19 0:00,0,,2019-05-15,2019-05-30,2019-05-28,-2.0,Early,Retail,15,13112.14,53,19279.40357815443,1,11085.927272727273,8,17723.343209876544,1,791.8272727272727,0,0.0
115,1929436297.0,200780383,MEIJ associates,,2019,06/05/19,20190620,USD,19997.78,6/21/19 0:00,0,,2019-06-05,2019-06-20,2019-06-21,1.0,Late,AllSectors,15,19997.78,0,0.0,1,16814.418181818182,3,51652.141935483865,0,0.0,0,0.0
116,1930448984.0,200759878,SA llc,,2020,1/30/20,20200315,USD,124047.42,03/06/20 0:00,0,,2020-01-30,2020-03-15,2020-03-06,-9.0,Early,AllSectors,45,124047.42,0,0.0,6,53266.14262295082,23,34437.289610389606,0,0.0,0,0.0
117,1929855149.0,200148860,DOLLA llc,,2019,09/10/19,20190925,USD,99386.3,9/25/19 0:00,0,,2019-09-10,2019-09-25,2019-09-25,0.0,OnTime,AllSectors,15,99386.3,0,0.0,2,15668.119047619048,1,56121.590909090904,0,0.0,0,0.0
