,no_of_days_for_due_pay,US_Dollars,no_of_early_pays,avg_of_early_pays,no_of_OnTime_pays,avg_of_OnTime_pays,no_of_late_pays,avg_of_late_pays,no_of_VeryLate_pays,avg_of_VeryLate_pays,no_of_CriticallyLate_pays,avg_of_CriticallyLate_pays,sector_label
293,15,18126.73,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
294,15,72955.78,179,23715.4688442211,1,11085.927272727273,35,25082.993162393155,1,791.8272727272727,0,0.0,2
296,15,20211.37,3,13575.62258064516,5,69920.16470588236,5,33451.18235294118,0,0.0,0,0.0,0
297,15,58082.83,40,19641.400249376562,0,0.0,7,20161.547887323944,1,791.8272727272727,0,0.0,2
298,15,59.16,0,0.0,6,18213.40655737705,8,10730.02962962963,0,0.0,0,0.0,0
299,11,21032.9425,0,0.0,0,0.0,6,26733.79672131148,0,0.0,0,0.0,0
300,15,55286.67,125,23865.680255795356,1,11085.927272727273,21,23591.502369668247,1,791.8272727272727,0,0.0,2
302,15,110103.7,1,122233.87272727273,0,0.0,0,0.0,0,0.0,0,0.0,0
303,4,4698.17,2,1687.4666666666665,0,0.0,0,0.0,0,0.0,0,0.0,0
304,15,73644.11,0,0.0,3,36223.87096774193,5,55681.73921568628,0,0.0,0,0.0,0
305,15,17741.14,0,0.0,0,0.0,2,737.9714285714285,1,524.4363636363636,0,0.0,0
306,16,53496.9185,0,0.0,0,0.0,4,21488.43902439025,0,0.0,0,0.0,0
307,15,15872.12,50,20057.34690618763,1,11085.927272727273,8,17723.343209876544,1,791.8272727272727,0,0.0,2
308,15,44874.28,104,23724.91181556195,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0,2
309,15,13.65,129,23963.050116188995,1,11085.927272727273,23,25126.30995670996,1,791.8272727272727,0,0.0,2
310,15,54614.3,0,0.0,4,39590.6756097561,6,57891.94426229508,0,0.0,0,0.0,0
313,15,39409.42,142,23754.39254046445,1,11085.927272727273,26,23470.657471264363,1,791.8272727272727,0,0.0,2
315,18,13807.1178,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
316,15,68.91,0,0.0,22,6381.696832579184,20,9633.343781094527,0,0.0,0,0.0,0
317,30,535045.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
318,15,20695.38,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2
320,15,19020.02,0,0.0,1,15876.363636363634,0,0.0,0,0.0,0,0.0,0
321,17,383.64,6,3157.3836065573773,0,0.0,0,0.0,0,0.0,0,0.0,0
322,15,464.08,2,3549.680952380952,0,0.0,1,1086.7272727272727,0,0.0,0,0.0,0
325,15,27497.1,164,23611.53046922607,1,11085.927272727273,30,23649.7976744186,1,791.8272727272727,0,0.0,2
326,15,3795.7,159,23634.75480829666,1,11085.927272727273,29,24292.270790378003,1,791.8272727272727,0,0.0,2
327,15,61470.32,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
328,16,62.7,3,5994.393548387096,0,0.0,0,0.0,0,0.0,0,0.0,0
329,15,117771.0,0,0.0,0,0.0,5,82578.71176470589,0,0.0,0,0.0,0
